"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","6e854738-1f0b-4a9d-8eba-0a557746c888","Completed",,"07-03-2026 17:47:28",,"24288",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T3","1","TOILET T3 DOM - BOARDING ROOM GATE 15 PRIA","D.F.05.P",,,,"5","Satisfied","5","Bagus dan bersih. Bapak petugas jam 04.45 ramah, rajin utk bersihkan area toilet. Nice","Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","0020981c-61b9-4dc4-a5c8-16225d5533e9","Completed",,"08-03-2026 04:45:58",,"102148",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04",,,,"5","Satisfied","5","Toilet nya bersih petugas nya ramah","Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","a06521e5-bdf9-48cd-8699-580ad6d88095","Completed",,"08-03-2026 08:04:33",,"27010",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07",,,,"5","Satisfied","5","Bersih dan petugas ramah","Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","ff1f6184-b940-482e-9bd4-ada8eeabbb9b","Completed",,"08-03-2026 08:26:40",,"31938",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05",,,,"5","Satisfied","5","Good",,"Positive","5","5","5","5","5","5","5e83edc9-5648-4621-b31b-b5a1111442f6","Completed",,"08-03-2026 08:47:55",,"83867",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"4","Satisfied","4","Tingkatkan SENYUMAN DAN KEIKHLASAN","Customer Service and Staff Behavior","Negative","4","4","5","5","4","4","7648e8c4-a78f-4734-af43-fa8d0ba25461","Completed",,"08-03-2026 09:00:22",,"109778",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08",,,,"5","Satisfied","5","Toilet bersih petugas ramah","Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","6449f5cb-4b52-48ae-866e-33afd7019abc","Completed",,"08-03-2026 09:24:16",,"35208",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","SUB","4","T1,LOBBY 3,PRIA","SUB-TOILE-T1-LOBBY 3,PRIA",,,,"5","Satisfied","5","Untuk bandara secara umum boleh? Sediakan charger station pliss","Airport Facilities and Amenities (Shower Rooms, Charging Stations, Food & Beverage)","Neutral","5","5","5","5","5","5","2dbd6afb-5358-4024-98b1-94d32bfd13ef","Completed",,"08-03-2026 09:29:42",,"61011",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 PRIA","B. BL2. P",,,,"4","Satisfied","4","bersih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Neutral","4","4","4","4","4","4","ce16c2e7-5e2c-47e4-aa78-c34d11a17453","Completed",,"08-03-2026 11:07:44",,"72375",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T2","1","TOILET T2D - CURBSIDE KEBERANGKATAN WANITA","API&IAS-TOILET-CGK T2-PCI D TW",,,,"4","Satisfied","4","its just ok, also i love the desk that's available in front of toilet :)",,"Positive","4","4","5","5","5","5","48fcad65-5dad-4d7c-8cad-f7c982925140","Completed",,"08-03-2026 13:51:31",,"381950",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,
