"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T2","1","PRAYING ROOM T2F - BOARDING ROOM T2F-4","API-PRAYING ROOM-CGK T2-BL F4 PR",,,,"5","Satisfied","5",,,,,,"5","5","5","5","1ead679c-9eef-44d5-9799-567b823da688","Completed",,"02-05-2026 12:40:24",,"31693",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T2","1","PRAYING ROOM T2D - CHECKIN","API-PRAYING ROOM-CGK T2-HCI D PR",,,,"5","Satisfied","5","Mushola bersih dan rapih","Prayer and Musholla Facilities (Availability, Cleanliness, Maintenance)","Positive",,,"5","5","5","5","2ad7de1a-13d1-4f02-8eb5-d75b2cafad4b","Completed",,"02-05-2026 15:59:14",,"46934",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","CGK T2","1","NURSERY ROOM T2F - BOARDING ROOM T2F-6","API-NURSERY-CGK T2-BL F6 NR",,,,"4","Satisfied","4",,,,,,,,,,"c8d272c9-8b78-4df7-826c-3995d2a27dab","Partial",,"02-05-2026 06:32:22",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T3","1","CHECK IN T3 INT","HCI.T3.INT",,,,"3","Neutral","3",,,,,,,,,,"84d06e2c-a50b-4373-a5ce-59766623115c","Partial",,"01-05-2026 16:42:39",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T2","1","CHECK IN T2D","API-CHECK IN-CGK T2-HCI D",,,,"5","Satisfied","5",,,,,,,,,,"0efe897e-8489-4303-96ba-99eaecb21f9f","Partial",,"01-05-2026 16:52:29",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T2","1","CHECK IN T2D","API-CHECK IN-CGK T2-HCI D",,,,"3","Neutral","3","Masih banyak mengular antrian saat cek in
Semoga bisa lebih cepat dan efektif lg kedepannya, biar lebih cepat dan efisien","Check-in Process and Counter Availability","Positive","4","4","4","4","4","4","8e2dd9f3-b009-4a2d-83c6-a1303b27c52f","Completed",,"02-05-2026 09:09:21",,"87716",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","CGK T2","1","CHECK IN T2D","API-CHECK IN-CGK T2-HCI D",,,,"3","Neutral","3","Antrian panjang, petugas dikit dan pelayanannya lama.","Check-in Process and Counter Availability","Negative","3","3","3","3","1","1","9a15ebda-dd20-4e55-a68c-27e1fe5661d1","Completed",,"02-05-2026 10:36:56",,"413730",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"8","API","BPN","6","CHECK IN ISLAND D","BPN-CI-D",,,,"3","Neutral","3",,,,"3","3","3","3","3","3","c6869225-e74d-4afd-8bea-4429f2b831f7","Partial",,"02-05-2026 13:45:31",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T3","1","BOARDING LOUNGE T3 INT","BL.T3.INT",,,,"5","Satisfied","5",,,,,,,,,,"9c11962f-a956-4b8d-a87d-767719e21fc6","Partial",,"02-05-2026 08:28:44",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T3","1","TOILET T3 INT - BOARDING ROOM GATE 8 PRIA","I.F.02.P",,,,"5","Satisfied","5","Bersih","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","38ec6ea9-9c9b-46db-ad87-846f4bab51d0","Completed",,"01-05-2026 16:42:01",,"24535",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
